Date,GMSL,CO2 conc.,CO2 emissions,Long-run NO2 concentration,Per-capita NO2 emissions in CO2 equivalents,Long-run CH4 concentration,Per-capita methane emissions in CO2 equivalents,Global avg temp. anomaly relative to 1961-1990,Sea surface temperature anomaly (relative to 1961-90 average),Sea surface temperature anomaly (relative to 1961-90 average) trend,Sea surface temperature anomaly (relative to 1961-90 average) anomaly,Nino 1.2,Nino 3,Nino 3.4,Nino 3.4 trend,Nino 4,North Sea Ice Extent Avg,North Sea Ice Extent Min,South Sea Ice Extent Avg trend ,South Sea Ice Extent Max,South Sea Ice Extent Max trend,South Sea Ice Extent Min,South Sea Ice Extent Avg,South Sea Ice Extent Avg Raw,South Sea Ice Extent Raw Avg trend
31/05/1884,-167.250175,289.2647083,1012001367,276.33,0.170104,849.89,1.107738233,-0.485254567,-0.349966667,-0.57788884,-0.620666667,25.14,27.35,28.26,-0.795364576,29.35,17.38066905,15.01753931,10.99990176,18.7883209,17.24018794,3.724872649,12.21615578,12.28349652,10.73994167
30/06/1884,-167.4133694,289.2072604,1012644258,276.3425,0.17009075,849.98,1.107733167,-0.483488193,-0.348733333,-0.578081791,-0.628583333,23.42,26.41,27.55,-0.794853241,28.61,17.37637255,15.01105458,11.00032852,18.78808228,17.24108954,3.724351681,12.21566212,12.28327836,10.74085065
31/07/1884,-167.5765638,289.1498125,1013287150,276.355,0.1700775,850.07,1.1077281,-0.48172182,-0.3475,-0.578274743,-0.6365,21.72,25.84,27.51,-0.794341906,28.83,17.37207604,15.00456984,11.00075527,18.78784366,17.24199114,3.723830712,12.21516846,12.28306019,10.74175964
31/08/1884,-167.7397581,289.0923646,1013930042,276.3675,0.17006425,850.16,1.107723033,-0.479955447,-0.346266667,-0.578467694,-0.644416667,20.91,25.28,27.08,-0.793830571,28.69,17.36777954,14.9980851,11.00118203,18.78760505,17.24289274,3.723309744,12.21467479,12.28284203,10.74266862
30/09/1884,-167.9029525,289.0349167,1014572933,276.38,0.170051,850.25,1.107717967,-0.478189073,-0.345033333,-0.578660645,-0.652333333,20.67,25.19,26.94,-0.793319237,28.64,17.36348303,14.99160037,11.00160879,18.78736643,17.24379434,3.722788776,12.21418113,12.28262386,10.74357761
31/10/1884,-168.0661469,288.9774687,1015215825,276.3925,0.17003775,850.34,1.1077129,-0.4764227,-0.3438,-0.578853596,-0.66025,21.2,25.29,27.02,-0.792807902,28.57,17.35918653,14.98511563,11.00203555,18.78712781,17.24469594,3.722267808,12.21368747,12.2824057,10.74448659
30/11/1884,-168.2293413,288.9200208,1015858717,276.405,0.1700245,850.43,1.107707833,-0.474656327,-0.342566667,-0.579046547,-0.668166667,22.37,25.46,26.95,-0.792296567,28.45,17.35489002,14.97863089,11.0024623,18.7868892,17.24559754,3.721746839,12.2131938,12.28218754,10.74539558
31/12/1884,-168.3925356,288.8625729,1016501608,276.4175,0.17001125,850.52,1.107702767,-0.472889953,-0.341333333,-0.579239498,-0.676083333,23.64,25.7,26.93,-0.791785232,28.4,17.35059352,14.97214616,11.00288906,18.78665058,17.24649915,3.721225871,12.21270014,12.28196937,10.74630457
31/01/1885,-168.55573,288.805125,1017144500,276.43,0.169998,850.61,1.1076977,-0.47112358,-0.3401,-0.579432449,-0.684,24.97,25.82,26.7,-0.791273897,28.05,17.34629701,14.96566142,11.00331582,18.78641196,17.24740075,3.720704903,12.21220648,12.28175121,10.74721355
28/02/1885,-168.6425356,288.7476771,1018433592,276.4433333,0.169979833,850.7008333,1.10775645,-0.466938583,-0.341241667,-0.576465856,-0.683583333,26.37,26.47,27.03,-0.790762562,28.17,17.34200051,14.95917668,11.00374258,18.78617335,17.24830235,3.720183935,12.21171281,12.28153305,10.74812254
31/03/1885,-168.7293413,288.6902292,1019722683,276.4566667,0.169961667,850.7916667,1.1078152,-0.462753587,-0.342383333,-0.573499263,-0.683166667,26.29,27.03,27.38,-0.790251228,28.43,17.337704,14.95269195,11.00416933,18.78593473,17.24920395,3.719662966,12.21121915,12.28131488,10.74903152
30/04/1885,-168.8161469,288.6327813,1021011775,276.47,0.1699435,850.8825,1.10787395,-0.45856859,-0.343525,-0.57053267,-0.68275,25.37,27.32,27.75,-0.789739893,28.47,17.3334075,14.94620721,11.00459609,18.78569611,17.25010555,3.719141998,12.21072549,12.28109672,10.74994051
31/05/1885,-168.9029525,288.5753333,1022300867,276.4833333,0.169925333,850.9733333,1.1079327,-0.454383593,-0.344666667,-0.567566077,-0.682333333,23.98,27.03,28.3,-0.789228558,29.27,17.32911099,14.93972248,11.00502285,18.7854575,17.25100715,3.71862103,12.21023182,12.28087856,10.75084949
30/06/1885,-168.9897581,288.5178854,1023589958,276.4966667,0.169907167,851.0641667,1.10799145,-0.450198597,-0.345808333,-0.564599484,-0.681916667,22.38,26.25,27.85,-0.788717223,28.88,17.32481449,14.93323774,11.00544961,18.78521888,17.25190875,3.718100062,12.20973816,12.28066039,10.75175848
31/07/1885,-169.0765638,288.4604375,1024879050,276.51,0.169889,851.155,1.1080502,-0.4460136,-0.34695,-0.561632891,-0.6815,21.34,25.3,27.3,-0.788205888,28.71,17.32051798,14.92675301,11.00587636,18.78498027,17.25281035,3.717579093,12.2092445,12.28044223,10.75266747
31/08/1885,-169.1633694,288.4029896,1026168142,276.5233333,0.169870833,851.2458333,1.10810895,-0.441828603,-0.348091667,-0.558666298,-0.681083333,20.8,25.03,27.21,-0.787694553,28.83,17.31622148,14.92026827,11.00630312,18.78474165,17.25371195,3.717058125,12.20875083,12.28022406,10.75357645
30/09/1885,-169.250175,288.3455417,1027457233,276.5366667,0.169852667,851.3366667,1.1081677,-0.437643607,-0.349233333,-0.555699705,-0.680666667,20.8,25.25,27.27,-0.787183219,28.89,17.31192497,14.91378353,11.00672988,18.78450303,17.25461356,3.716537157,12.20825717,12.2800059,10.75448544
31/10/1885,-169.3369806,288.2880938,1028746325,276.55,0.1698345,851.4275,1.10822645,-0.43345861,-0.350375,-0.552733112,-0.68025,21.25,25.3,27.45,-0.786671884,29.14,17.30762847,14.9072988,11.00715664,18.78426442,17.25551516,3.716016189,12.20776351,12.27978774,10.75539442
30/11/1885,-169.4237863,288.2306458,1030035417,276.5633333,0.169816333,851.5183333,1.1082852,-0.429273613,-0.351516667,-0.549766519,-0.679833333,22.19,25.49,27.46,-0.786160549,29.03,17.30333196,14.90081406,11.00758339,18.7840258,17.25641676,3.71549522,12.20726984,12.27956957,10.75630341
31/12/1885,-169.5105919,288.1731979,1031324508,276.5766667,0.169798167,851.6091667,1.10834395,-0.425088617,-0.352658333,-0.546799926,-0.679416667,22.97,25.84,27.61,-0.785649214,28.9,17.29903546,14.89432933,11.00801015,18.78378718,17.25731836,3.714974252,12.20677618,12.27935141,10.75721239
